All likes,Films,TV Programmes,Music,Books,Sports Teams,Sportspeople,Favourites,Check-ins,Sports,Music,Films,Tv programmes,Books,Apps - games,Events,Gender
1563,25,25,76,1,111,130,8,4,6,7,0,4,0,0,5,1
285,2,10,15,0,1,1,3,4,0,2,6,3,7,0,3,1
276,38,14,24,1,11,27,1,3,9,2,6,5,4,0,5,1
601,2,6,70,0,9,15,5,4,0,2,0,6,7,5,2,1
1806,4,6,28,0,3,3,6,2,6,2,3,4,6,2,3,1
1525,3,8,45,0,80,41,6,3,6,6,5,4,0,0,5,1
636,13,19,41,0,6,15,4,3,9,4,7,6,7,0,2,1
712,0,3,38,0,23,26,5,4,6,6,8,5,7,2,4,1
957,5,10,53,0,43,53,3,3,0,1,0,5,6,4,2,1
340,0,2,6,0,22,3,6,3,6,5,3,4,6,3,5,1
258,3,10,7,0,4,3,8,3,7,2,7,7,2,1,6,1
568,19,17,28,1,3,5,5,4,9,5,6,5,7,5,6,1
205,6,3,11,0,6,4,6,4,6,8,5,7,7,3,0,1
1456,67,38,161,2,33,87,3,3,0,5,8,7,7,5,4,1
469,4,14,11,1,11,18,1,3,0,2,3,5,0,0,4,1
403,4,7,61,0,7,23,3,3,6,5,6,1,0,1,5,1
290,8,7,41,0,1,3,3,3,6,7,3,3,0,5,3,1
448,32,28,92,0,8,19,2,3,8,5,6,7,0,0,5,1
422,24,17,75,0,27,10,5,0,6,4,3,1,0,4,0,1
1564,52,66,284,0,34,57,3,3,6,5,5,1,0,5,0,1
858,20,18,116,1,13,26,3,3,6,8,2,3,0,5,4,1
4784,432,169,331,0,89,331,3,2,6,4,0,2,0,4,4,1
449,6,16,148,0,14,22,6,3,6,2,3,1,0,5,4,1
297,5,21,55,0,5,4,6,3,6,6,6,3,0,0,0,1
862,35,21,71,3,41,21,3,3,6,9,5,1,0,0,5,1
427,4,13,41,0,2,1,3,2,0,4,4,2,0,0,4,1
522,0,5,5,0,20,28,3,2,6,4,7,3,0,5,4,1
562,2,16,84,0,7,8,3,2,8,7,6,2,0,0,0,1
262,5,6,26,0,2,3,3,2,6,2,7,3,0,0,5,1
720,10,7,110,0,5,5,2,2,0,2,0,3,0,5,0,1
124,0,10,70,0,4,1,3,3,6,5,7,3,0,5,4,1
777,6,6,33,0,3,9,3,3,6,8,6,3,0,4,0,1
1251,12,36,46,0,46,117,1,2,6,6,6,3,0,5,5,1
700,12,4,57,0,11,9,3,2,8,5,1,1,0,3,0,1
947,6,18,54,0,3,4,6,2,6,2,3,2,0,5,5,1
676,20,11,120,0,3,7,3,3,6,5,7,2,0,5,3,1
324,9,11,23,0,19,25,3,3,6,4,6,2,0,0,4,1
748,58,13,127,0,12,35,3,2,6,5,3,3,0,5,0,1
696,13,10,29,0,22,60,3,3,6,2,3,1,0,1,4,1
923,12,33,27,1,63,34,5,2,6,2,0,3,0,5,4,1
501,5,6,30,0,14,5,3,2,6,4,8,3,0,5,3,1
20,39,103,103,10,29,7,3,2,7,9,2,1,0,5,4,1
360,4,7,45,0,2,2,3,1,6,5,8,3,2,0,5,1
198,3,0,6,0,4,1,6,1,6,2,0,5,0,2,5,1
466,3,3,30,0,11,13,3,3,7,2,5,3,0,5,3,1
233,5,0,8,0,1,0,3,2,0,8,8,7,4,5,0,1
322,8,6,20,0,1,4,6,3,6,2,7,3,0,4,4,1
139,3,2,4,0,1,2,3,3,6,5,7,4,0,2,5,1
357,3,0,25,0,4,3,3,3,6,7,3,3,0,5,6,1
440,29,9,46,3,12,8,6,3,6,2,7,3,4,4,0,1
849,11,4,76,0,12,8,3,2,7,9,3,4,0,0,6,1
219,7,4,39,0,1,8,1,2,6,2,7,3,4,0,4,1
368,6,5,13,0,1,2,3,3,6,5,2,7,0,0,3,1
637,7,6,57,0,15,18,3,3,7,2,5,1,0,0,5,1
1141,6,4,25,0,10,3,5,3,6,2,7,1,0,5,4,1
178,9,2,4,0,0,1,3,3,8,2,7,7,0,5,3,1
747,4,12,51,7,5,2,3,3,6,5,0,6,0,0,6,1
1409,5,4,31,10,24,47,3,3,6,2,4,4,0,5,0,1
289,12,19,5,0,3,6,5,2,6,9,0,1,0,0,0,1
578,13,11,62,0,4,1,2,2,6,9,7,1,0,3,3,1
610,25,15,52,2,19,45,3,2,6,6,3,7,4,5,5,1
0,0,0,0,0,0,0,3,2,6,7,7,3,0,5,5,1
669,21,27,40,4,23,35,3,3,6,2,7,6,0,5,5,1
1023,17,23,51,14,12,14,6,3,6,9,5,1,4,5,4,1
2304,27,30,115,18,86,110,3,3,6,5,7,4,0,5,3,1
732,15,5,55,2,6,6,3,2,8,2,7,1,0,5,4,1
77,5,3,5,0,0,1,3,3,7,4,6,5,0,6,0,1
29,0,0,4,0,3,0,3,2,6,5,2,3,0,0,4,1
973,151,41,76,16,4,6,3,3,7,2,6,3,0,4,5,1
218,0,0,17,0,5,9,3,2,7,6,7,7,1,4,5,1
0,0,0,0,0,0,0,1,3,6,9,3,3,0,0,3,1
531,1,3,30,11,41,9,3,3,6,5,6,3,0,4,4,1
115,2,1,4,0,2,1,3,2,8,6,3,7,0,5,5,1
3005,48,0,0,13,106,250,3,3,6,2,7,4,4,5,4,1
1218,11,11,119,7,0,0,3,3,0,5,6,7,0,5,5,1
127,0,2,5,0,8,5,6,2,6,4,0,1,0,4,4,1
1246,8,10,136,2,9,60,3,3,6,6,5,3,0,5,4,1
2102,11,15,79,1,19,34,3,3,0,4,7,7,0,5,3,1
183,0,2,4,3,26,24,3,3,6,6,7,3,0,0,4,1
363,0,0,26,2,0,0,3,3,6,6,0,3,0,4,5,1
44,0,0,2,0,5,1,3,3,0,2,3,3,0,0,3,1
277,0,2,17,1,18,6,6,3,6,2,3,3,0,4,0,1
684,17,22,72,16,16,58,3,3,6,5,3,4,0,4,4,1
38,0,1,0,0,0,0,3,3,6,7,7,3,0,3,0,1
8938,299,169,745,84,136,225,3,0,6,7,7,3,0,3,5,1
344,1,4,48,3,2,1,6,3,6,4,4,7,0,4,3,1
24,0,0,1,1,0,0,3,3,6,4,7,5,0,3,4,1
692,8,11,140,3,0,0,6,3,7,5,6,1,0,5,6,1
103,0,2,7,0,0,0,5,3,6,4,6,3,7,4,0,1
1745,67,23,98,6,22,35,3,3,6,2,3,4,0,3,5,1
208,0,4,10,0,0,1,2,2,7,4,2,1,5,1,0,1
156,1,2,3,0,5,1,3,3,6,2,7,3,0,3,3,1
368,1,10,50,1,0,0,3,3,6,9,4,0,0,0,3,1
813,9,17,67,20,13,12,3,3,0,7,2,4,0,0,0,1
49,0,0,5,0,2,1,3,3,6,8,0,5,0,5,3,1
2557,161,39,97,5,49,92,3,3,0,7,3,5,0,3,3,1
120,2,1,6,0,2,3,3,2,6,2,4,1,0,5,3,1
247,0,0,31,1,1,0,3,3,6,9,3,0,0,5,3,1
367,2,2,4,0,5,1,3,3,6,2,7,3,4,5,0,1
2853,18,38,374,10,17,8,3,0,6,7,5,7,0,3,3,1
166,2,5,4,1,9,1,3,2,6,7,7,1,0,3,0,1
629,4,8,48,10,16,27,3,0,8,9,3,7,0,5,4,1
